dataset,system,case_id,fault_type,source_file,window_type,model,eval_windows,n_entities,n_steps,n_metrics,p95_latency_ms,mse,mae,capacity_cost,under_provision_rate,peak_miss
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,RE1-OB/productcatalogservice_cpu/4/data.csv,normal,patchtst,256,14,4187,8,8.100070009822955,0.007060941308736801,0.06498929113149643,0.15004758536815643,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,RE1-OB/productcatalogservice_cpu/4/data.csv,fault,patchtst,256,14,4187,8,8.100070009822955,0.007060941308736801,0.06498929113149643,0.15004758536815643,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,RE1-OB/productcatalogservice_cpu/3/data.csv,normal,dlinear,256,11,4201,8,0.7485299924155691,0.18964892625808716,0.37041911482810974,0.1091594398021698,0.00390625,0.00390625
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,RE1-OB/productcatalogservice_cpu/3/data.csv,fault,dlinear,256,11,4201,8,0.7485299924155691,0.18964892625808716,0.37041911482810974,0.1091594398021698,0.00390625,0.00390625
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,RE1-OB/productcatalogservice_cpu/3/data.csv,normal,race_dlinear,256,11,4201,8,1.8790400004945682,0.16078278422355652,0.294135719537735,0.1676510125398636,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,RE1-OB/productcatalogservice_cpu/3/data.csv,fault,race_dlinear,256,11,4201,8,1.8790400004945682,0.16078278422355652,0.294135719537735,0.1676510125398636,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,RE1-OB/productcatalogservice_cpu/3/data.csv,normal,patchtst,256,11,4201,8,14.634835007018399,0.006009669508785009,0.061563264578580856,0.15000830590724945,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,RE1-OB/productcatalogservice_cpu/3/data.csv,fault,patchtst,256,11,4201,8,14.634835007018399,0.006009669508785009,0.061563264578580856,0.15000830590724945,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,RE1-OB/productcatalogservice_cpu/2/data.csv,normal,dlinear,256,16,4201,8,0.09407499164808542,0.3272593915462494,0.47779834270477295,0.18116281926631927,0.10677083333333333,0.10677083333333333
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,RE1-OB/productcatalogservice_cpu/2/data.csv,fault,dlinear,256,16,4201,8,0.09407499164808542,0.3272593915462494,0.47779834270477295,0.18116281926631927,0.10677083333333333,0.10677083333333333
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,RE1-OB/productcatalogservice_cpu/2/data.csv,normal,race_dlinear,256,16,4201,8,0.9565500018652521,0.4703468978404999,0.5445432066917419,0.21260015666484833,0.08333333333333333,0.08333333333333333
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,RE1-OB/productcatalogservice_cpu/2/data.csv,fault,race_dlinear,256,16,4201,8,0.9565500018652521,0.4703468978404999,0.5445432066917419,0.21260015666484833,0.08333333333333333,0.08333333333333333
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,RE1-OB/productcatalogservice_cpu/2/data.csv,normal,patchtst,256,16,4201,8,22.02034001238644,0.007704488933086395,0.07009708881378174,0.1477840691804886,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,RE1-OB/productcatalogservice_cpu/2/data.csv,fault,patchtst,256,16,4201,8,22.02034001238644,0.007704488933086395,0.07009708881378174,0.1477840691804886,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,RE1-OB/productcatalogservice_cpu/5/data.csv,normal,dlinear,256,6,4201,8,0.12617502943612635,0.38253238797187805,0.5215475559234619,0.158360555768013,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,RE1-OB/productcatalogservice_cpu/5/data.csv,fault,dlinear,256,6,4201,8,0.12617502943612635,0.38253238797187805,0.5215475559234619,0.158360555768013,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,RE1-OB/productcatalogservice_cpu/5/data.csv,normal,race_dlinear,256,6,4201,8,0.5910500127356498,0.5341039896011353,0.6206488013267517,0.15144185721874237,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,RE1-OB/productcatalogservice_cpu/5/data.csv,fault,race_dlinear,256,6,4201,8,0.5910500127356498,0.5341039896011353,0.6206488013267517,0.15144185721874237,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,RE1-OB/productcatalogservice_cpu/5/data.csv,normal,patchtst,256,6,4201,8,5.822394986171274,0.004512618761509657,0.05315394327044487,0.14971740543842316,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,RE1-OB/productcatalogservice_cpu/5/data.csv,fault,patchtst,256,6,4201,8,5.822394986171274,0.004512618761509657,0.05315394327044487,0.14971740543842316,0.0,0.0
RCAEval,online_boutique,adservice_loss_1,loss,RE1-OB/adservice_loss/1/data.csv,normal,dlinear,256,14,721,8,0.12172496935818343,0.4510217010974884,0.5452045798301697,0.1416061371564865,0.0,0.0
RCAEval,online_boutique,adservice_loss_1,loss,RE1-OB/adservice_loss/1/data.csv,fault,dlinear,256,14,721,8,0.12172496935818343,0.4510217010974884,0.5452045798301697,0.1416061371564865,0.0,0.0
RCAEval,online_boutique,adservice_loss_1,loss,RE1-OB/adservice_loss/1/data.csv,normal,race_dlinear,256,14,721,8,1.7057899967767298,0.4372251331806183,0.5915119051933289,0.13159610331058502,0.0,0.0
RCAEval,online_boutique,adservice_loss_1,loss,RE1-OB/adservice_loss/1/data.csv,fault,race_dlinear,256,14,721,8,1.7057899967767298,0.4372251331806183,0.5915119051933289,0.13159610331058502,0.0,0.0
RCAEval,online_boutique,adservice_loss_1,loss,RE1-OB/adservice_loss/1/data.csv,normal,patchtst,256,14,721,8,3.7295199726941055,0.006599330808967352,0.06311368197202682,0.14957833290100098,0.0,0.0
RCAEval,online_boutique,adservice_loss_1,loss,RE1-OB/adservice_loss/1/data.csv,fault,patchtst,256,14,721,8,3.7295199726941055,0.006599330808967352,0.06311368197202682,0.14957833290100098,0.0,0.0
RCAEval,online_boutique,adservice_loss_4,loss,RE1-OB/adservice_loss/4/data.csv,normal,dlinear,256,11,721,8,0.1886249810922891,0.9940651059150696,0.8107284903526306,0.1653762310743332,0.0,0.0
RCAEval,online_boutique,adservice_loss_4,loss,RE1-OB/adservice_loss/4/data.csv,fault,dlinear,256,11,721,8,0.1886249810922891,0.9840397238731384,0.8066880106925964,0.16504524648189545,0.0,0.0
RCAEval,online_boutique,adservice_loss_4,loss,RE1-OB/adservice_loss/4/data.csv,normal,race_dlinear,256,11,721,8,0.751505000516772,0.9407963752746582,0.7895129323005676,0.15145742893218994,0.0,0.0
RCAEval,online_boutique,adservice_loss_4,loss,RE1-OB/adservice_loss/4/data.csv,fault,race_dlinear,256,11,721,8,0.751505000516772,0.936464786529541,0.7876378893852234,0.15129147469997406,0.0,0.0
RCAEval,online_boutique,adservice_loss_4,loss,RE1-OB/adservice_loss/4/data.csv,normal,patchtst,256,11,721,8,5.296539995470083,0.0046461476013064384,0.05572523549199104,0.14868883788585663,0.0,0.0
RCAEval,online_boutique,adservice_loss_4,loss,RE1-OB/adservice_loss/4/data.csv,fault,patchtst,256,11,721,8,5.296539995470083,0.004646060988306999,0.05578763410449028,0.1486838012933731,0.0,0.0
RCAEval,online_boutique,adservice_loss_3,loss,RE1-OB/adservice_loss/3/data.csv,normal,dlinear,256,13,721,8,0.07980000518728046,0.46371540427207947,0.6204017996788025,0.12344656139612198,0.078125,0.078125
RCAEval,online_boutique,adservice_loss_3,loss,RE1-OB/adservice_loss/3/data.csv,fault,dlinear,256,13,721,8,0.07980000518728046,0.46371540427207947,0.6204017996788025,0.12344656139612198,0.078125,0.078125
RCAEval,online_boutique,adservice_loss_3,loss,RE1-OB/adservice_loss/3/data.csv,normal,race_dlinear,256,13,721,8,2.169105011853387,0.40932032465934753,0.48927822709083557,0.1781492680311203,0.0,0.0
RCAEval,online_boutique,adservice_loss_3,loss,RE1-OB/adservice_loss/3/data.csv,fault,race_dlinear,256,13,721,8,2.169105011853387,0.40932032465934753,0.48927822709083557,0.1781492680311203,0.0,0.0
RCAEval,online_boutique,adservice_loss_3,loss,RE1-OB/adservice_loss/3/data.csv,normal,patchtst,256,13,721,8,78.29008501139467,0.0069488827139139175,0.06431746482849121,0.1485367715358734,0.0,0.0
RCAEval,online_boutique,adservice_loss_3,loss,RE1-OB/adservice_loss/3/data.csv,fault,patchtst,256,13,721,8,78.29008501139467,0.0069488827139139175,0.06431746482849121,0.1485367715358734,0.0,0.0
RCAEval,online_boutique,adservice_loss_2,loss,RE1-OB/adservice_loss/2/data.csv,normal,dlinear,256,14,721,8,0.3456249658484012,0.8788616061210632,0.6799657344818115,0.16908054053783417,0.0,0.0
RCAEval,online_boutique,adservice_loss_2,loss,RE1-OB/adservice_loss/2/data.csv,fault,dlinear,256,14,721,8,0.3456249658484012,0.8788616061210632,0.6799657344818115,0.16908054053783417,0.0,0.0
RCAEval,online_boutique,adservice_loss_2,loss,RE1-OB/adservice_loss/2/data.csv,normal,race_dlinear,256,14,721,8,1.0980699968058611,0.5006028413772583,0.5193315148353577,0.14263461530208588,0.0439453125,0.0439453125
RCAEval,online_boutique,adservice_loss_2,loss,RE1-OB/adservice_loss/2/data.csv,fault,race_dlinear,256,14,721,8,1.0980699968058611,0.5006028413772583,0.5193315148353577,0.14263461530208588,0.0439453125,0.0439453125
RCAEval,online_boutique,adservice_loss_2,loss,RE1-OB/adservice_loss/2/data.csv,normal,patchtst,256,14,721,8,10.91463498596567,0.01348913460969925,0.09480924159288406,0.1496124416589737,0.0,0.0
RCAEval,online_boutique,adservice_loss_2,loss,RE1-OB/adservice_loss/2/data.csv,fault,patchtst,256,14,721,8,10.91463498596567,0.01348913460969925,0.09480924159288406,0.1496124416589737,0.0,0.0
RCAEval,online_boutique,adservice_loss_5,loss,RE1-OB/adservice_loss/5/data.csv,normal,dlinear,256,14,721,8,0.2805449941661209,0.8880767822265625,0.8405740261077881,0.15052305161952972,0.0,0.0
RCAEval,online_boutique,adservice_loss_5,loss,RE1-OB/adservice_loss/5/data.csv,fault,dlinear,256,14,721,8,0.2805449941661209,0.8880767822265625,0.8405740261077881,0.15052305161952972,0.0,0.0
RCAEval,online_boutique,adservice_loss_5,loss,RE1-OB/adservice_loss/5/data.csv,normal,race_dlinear,256,14,721,8,5.311124995932911,0.6083564758300781,0.6896551251411438,0.16110533475875854,0.0,0.0
RCAEval,online_boutique,adservice_loss_5,loss,RE1-OB/adservice_loss/5/data.csv,fault,race_dlinear,256,14,721,8,5.311124995932911,0.6083564758300781,0.6896551251411438,0.16110533475875854,0.0,0.0
RCAEval,online_boutique,adservice_loss_5,loss,RE1-OB/adservice_loss/5/data.csv,normal,patchtst,256,14,721,8,22.298049984965466,0.005373295862227678,0.059754546731710434,0.14922751486301422,0.0,0.0
RCAEval,online_boutique,adservice_loss_5,loss,RE1-OB/adservice_loss/5/data.csv,fault,patchtst,256,14,721,8,22.298049984965466,0.005373295862227678,0.059754546731710434,0.14922751486301422,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_1,cpu,RE1-OB/currencyservice_cpu/1/data.csv,normal,dlinear,256,12,4201,8,0.40174004097934796,0.8968701958656311,0.7780057787895203,0.15602867305278778,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_1,cpu,RE1-OB/currencyservice_cpu/1/data.csv,fault,dlinear,256,12,4201,8,0.40174004097934796,0.8968701958656311,0.7780057787895203,0.15602867305278778,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_1,cpu,RE1-OB/currencyservice_cpu/1/data.csv,normal,race_dlinear,256,12,4201,8,4.911359999096019,0.2531740963459015,0.41465702652931213,0.149984210729599,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_1,cpu,RE1-OB/currencyservice_cpu/1/data.csv,fault,race_dlinear,256,12,4201,8,4.911359999096019,0.2531740963459015,0.41465702652931213,0.149984210729599,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_1,cpu,RE1-OB/currencyservice_cpu/1/data.csv,normal,patchtst,256,12,4201,8,64.86306498409247,0.006871440913528204,0.06288689374923706,0.1487932950258255,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_1,cpu,RE1-OB/currencyservice_cpu/1/data.csv,fault,patchtst,256,12,4201,8,64.86306498409247,0.006871440913528204,0.06288689374923706,0.1487932950258255,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_4,cpu,RE1-OB/currencyservice_cpu/4/data.csv,normal,dlinear,256,10,4201,8,0.14786501124035564,0.8780912756919861,0.6896197199821472,0.17518813908100128,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_4,cpu,RE1-OB/currencyservice_cpu/4/data.csv,fault,dlinear,256,10,4201,8,0.14786501124035564,0.8780912756919861,0.6896197199821472,0.17518813908100128,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_4,cpu,RE1-OB/currencyservice_cpu/4/data.csv,normal,race_dlinear,256,10,4201,8,0.5620649899356065,0.6205970048904419,0.647936999797821,0.1677541583776474,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_4,cpu,RE1-OB/currencyservice_cpu/4/data.csv,fault,race_dlinear,256,10,4201,8,0.5620649899356065,0.6205970048904419,0.647936999797821,0.1677541583776474,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_4,cpu,RE1-OB/currencyservice_cpu/4/data.csv,normal,patchtst,256,10,4201,8,1.781190015026367,0.005293950438499451,0.05797629430890083,0.1515318900346756,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_4,cpu,RE1-OB/currencyservice_cpu/4/data.csv,fault,patchtst,256,10,4201,8,1.781190015026367,0.005293950438499451,0.05797629430890083,0.1515318900346756,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_3,cpu,RE1-OB/currencyservice_cpu/3/data.csv,normal,dlinear,256,10,4201,8,0.39564000326208737,0.6527042984962463,0.6273393034934998,0.1692897528409958,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_3,cpu,RE1-OB/currencyservice_cpu/3/data.csv,fault,dlinear,256,10,4201,8,0.39564000326208737,0.6527042984962463,0.6273393034934998,0.1692897528409958,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_3,cpu,RE1-OB/currencyservice_cpu/3/data.csv,normal,race_dlinear,256,10,4201,8,1.8951950187329194,0.9660647511482239,0.8863052725791931,0.16789525747299194,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_3,cpu,RE1-OB/currencyservice_cpu/3/data.csv,fault,race_dlinear,256,10,4201,8,1.8951950187329194,0.9660647511482239,0.8863052725791931,0.16789525747299194,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_3,cpu,RE1-OB/currencyservice_cpu/3/data.csv,normal,patchtst,256,10,4201,8,3.114954990451223,0.004541477654129267,0.05474691465497017,0.15074054896831512,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_3,cpu,RE1-OB/currencyservice_cpu/3/data.csv,fault,patchtst,256,10,4201,8,3.114954990451223,0.004541477654129267,0.05474691465497017,0.15074054896831512,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_2,cpu,RE1-OB/currencyservice_cpu/2/data.csv,normal,dlinear,256,12,4201,8,0.633500001276843,0.29855939745903015,0.3414096534252167,0.13700070977210999,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_2,cpu,RE1-OB/currencyservice_cpu/2/data.csv,fault,dlinear,256,12,4201,8,0.633500001276843,0.29855939745903015,0.3414096534252167,0.13700070977210999,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_2,cpu,RE1-OB/currencyservice_cpu/2/data.csv,normal,race_dlinear,256,12,4201,8,0.3244099789299071,0.2960587441921234,0.3988592326641083,0.15453605353832245,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_2,cpu,RE1-OB/currencyservice_cpu/2/data.csv,fault,race_dlinear,256,12,4201,8,0.3244099789299071,0.2960587441921234,0.3988592326641083,0.15453605353832245,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_2,cpu,RE1-OB/currencyservice_cpu/2/data.csv,normal,patchtst,256,12,4201,8,2.6582050049910313,0.010902442038059235,0.08253874629735947,0.1495843231678009,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_2,cpu,RE1-OB/currencyservice_cpu/2/data.csv,fault,patchtst,256,12,4201,8,2.6582050049910313,0.010902442038059235,0.08253874629735947,0.1495843231678009,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_5,cpu,RE1-OB/currencyservice_cpu/5/data.csv,normal,dlinear,256,11,4201,8,0.39363999967463276,0.7111804485321045,0.6396174430847168,0.131692036986351,0.01123046875,0.01123046875
RCAEval,online_boutique,currencyservice_cpu_5,cpu,RE1-OB/currencyservice_cpu/5/data.csv,fault,dlinear,256,11,4201,8,0.39363999967463276,0.7111804485321045,0.6396174430847168,0.131692036986351,0.01123046875,0.01123046875
RCAEval,online_boutique,currencyservice_cpu_5,cpu,RE1-OB/currencyservice_cpu/5/data.csv,normal,race_dlinear,256,11,4201,8,1.3710399740375567,0.8395576477050781,0.7765676379203796,0.17007017135620117,0.08984375,0.08984375
RCAEval,online_boutique,currencyservice_cpu_5,cpu,RE1-OB/currencyservice_cpu/5/data.csv,fault,race_dlinear,256,11,4201,8,1.3710399740375567,0.8395576477050781,0.7765676379203796,0.17007017135620117,0.08984375,0.08984375
RCAEval,online_boutique,currencyservice_cpu_5,cpu,RE1-OB/currencyservice_cpu/5/data.csv,normal,patchtst,256,11,4201,8,3.331480015185661,0.008187725208699703,0.07275465130805969,0.14765973389148712,0.0,0.0
RCAEval,online_boutique,currencyservice_cpu_5,cpu,RE1-OB/currencyservice_cpu/5/data.csv,fault,patchtst,256,11,4201,8,3.331480015185661,0.008187725208699703,0.07275465130805969,0.14765973389148712,0.0,0.0
RCAEval,online_boutique,adservice_mem_1,service,RE1-OB/adservice_mem/1/data.csv,normal,dlinear,256,11,4201,8,0.1746599969919771,0.30390429496765137,0.42642560601234436,0.20130084455013275,0.0,0.0
RCAEval,online_boutique,adservice_mem_1,service,RE1-OB/adservice_mem/1/data.csv,fault,dlinear,256,11,4201,8,0.1746599969919771,0.30390429496765137,0.42642560601234436,0.20130084455013275,0.0,0.0
RCAEval,online_boutique,adservice_mem_1,service,RE1-OB/adservice_mem/1/data.csv,normal,race_dlinear,256,11,4201,8,2.254565004841424,0.7077584266662598,0.5916025638580322,0.21261374652385712,0.0,0.0
RCAEval,online_boutique,adservice_mem_1,service,RE1-OB/adservice_mem/1/data.csv,fault,race_dlinear,256,11,4201,8,2.254565004841424,0.7077584266662598,0.5916025638580322,0.21261374652385712,0.0,0.0
RCAEval,online_boutique,adservice_mem_1,service,RE1-OB/adservice_mem/1/data.csv,normal,patchtst,256,11,4201,8,2.1472250082297246,0.004412814509123564,0.0520828478038311,0.14993323385715485,0.0,0.0
RCAEval,online_boutique,adservice_mem_1,service,RE1-OB/adservice_mem/1/data.csv,fault,patchtst,256,11,4201,8,2.1472250082297246,0.004412814509123564,0.0520828478038311,0.14993323385715485,0.0,0.0
RCAEval,online_boutique,adservice_mem_4,service,RE1-OB/adservice_mem/4/data.csv,normal,dlinear,256,15,4201,8,0.1813399896491319,0.5934468507766724,0.6281859874725342,0.17802555859088898,0.055338541666666664,0.055338541666666664
RCAEval,online_boutique,adservice_mem_4,service,RE1-OB/adservice_mem/4/data.csv,fault,dlinear,256,15,4201,8,0.1813399896491319,0.5934468507766724,0.6281859874725342,0.17802555859088898,0.055338541666666664,0.055338541666666664
RCAEval,online_boutique,adservice_mem_4,service,RE1-OB/adservice_mem/4/data.csv,normal,race_dlinear,256,15,4201,8,2.590874998713843,0.9697721600532532,0.873124897480011,0.19821548461914062,0.038736979166666664,0.038736979166666664
RCAEval,online_boutique,adservice_mem_4,service,RE1-OB/adservice_mem/4/data.csv,fault,race_dlinear,256,15,4201,8,2.590874998713843,0.9697721600532532,0.873124897480011,0.19821548461914062,0.038736979166666664,0.038736979166666664
RCAEval,online_boutique,adservice_mem_4,service,RE1-OB/adservice_mem/4/data.csv,normal,patchtst,256,15,4201,8,2.365039978758431,0.007400176953524351,0.06934904307126999,0.15298175811767578,0.0,0.0
RCAEval,online_boutique,adservice_mem_4,service,RE1-OB/adservice_mem/4/data.csv,fault,patchtst,256,15,4201,8,2.365039978758431,0.007400176953524351,0.06934904307126999,0.15298175811767578,0.0,0.0
RCAEval,online_boutique,adservice_mem_3,service,RE1-OB/adservice_mem/3/data.csv,normal,dlinear,256,13,4201,8,0.9149799676379186,0.27937987446784973,0.44126519560813904,0.1579115390777588,0.0,0.0
RCAEval,online_boutique,adservice_mem_3,service,RE1-OB/adservice_mem/3/data.csv,fault,dlinear,256,13,4201,8,0.9149799676379186,0.27937987446784973,0.44126519560813904,0.1579115390777588,0.0,0.0
RCAEval,online_boutique,adservice_mem_3,service,RE1-OB/adservice_mem/3/data.csv,normal,race_dlinear,256,13,4201,8,0.5900549818761647,0.7027390599250793,0.6049129366874695,0.1511421948671341,0.0,0.0
RCAEval,online_boutique,adservice_mem_3,service,RE1-OB/adservice_mem/3/data.csv,fault,race_dlinear,256,13,4201,8,0.5900549818761647,0.7027390599250793,0.6049129366874695,0.1511421948671341,0.0,0.0
RCAEval,online_boutique,adservice_mem_3,service,RE1-OB/adservice_mem/3/data.csv,normal,patchtst,256,13,4201,8,1.1077499715611336,0.004954009782522917,0.053268399089574814,0.14994318783283234,0.0,0.0
RCAEval,online_boutique,adservice_mem_3,service,RE1-OB/adservice_mem/3/data.csv,fault,patchtst,256,13,4201,8,1.1077499715611336,0.004954009782522917,0.053268399089574814,0.14994318783283234,0.0,0.0
RCAEval,online_boutique,adservice_mem_2,service,RE1-OB/adservice_mem/2/data.csv,normal,dlinear,256,16,4201,8,0.08655502460896967,0.8433441519737244,0.6506403088569641,0.16955560445785522,0.0,0.0
RCAEval,online_boutique,adservice_mem_2,service,RE1-OB/adservice_mem/2/data.csv,fault,dlinear,256,16,4201,8,0.08655502460896967,0.8433441519737244,0.6506403088569641,0.16955560445785522,0.0,0.0
RCAEval,online_boutique,adservice_mem_2,service,RE1-OB/adservice_mem/2/data.csv,normal,race_dlinear,256,16,4201,8,1.5825699840206648,0.8505180478096008,0.641014814376831,0.15574097633361816,0.0,0.0
RCAEval,online_boutique,adservice_mem_2,service,RE1-OB/adservice_mem/2/data.csv,fault,race_dlinear,256,16,4201,8,1.5825699840206648,0.8505180478096008,0.641014814376831,0.15574097633361816,0.0,0.0
RCAEval,online_boutique,adservice_mem_2,service,RE1-OB/adservice_mem/2/data.csv,normal,patchtst,256,16,4201,8,2.4123450362822028,0.008710936643183231,0.0714288055896759,0.14697259664535522,0.0,0.0
RCAEval,online_boutique,adservice_mem_2,service,RE1-OB/adservice_mem/2/data.csv,fault,patchtst,256,16,4201,8,2.4123450362822028,0.008710936643183231,0.0714288055896759,0.14697259664535522,0.0,0.0
RCAEval,online_boutique,adservice_mem_5,service,RE1-OB/adservice_mem/5/data.csv,normal,dlinear,256,11,4201,8,0.17949001339729861,0.6318209767341614,0.6315743327140808,0.1578979641199112,0.0,0.0
RCAEval,online_boutique,adservice_mem_5,service,RE1-OB/adservice_mem/5/data.csv,fault,dlinear,256,11,4201,8,0.17949001339729861,0.6318209767341614,0.6315743327140808,0.1578979641199112,0.0,0.0
RCAEval,online_boutique,adservice_mem_5,service,RE1-OB/adservice_mem/5/data.csv,normal,race_dlinear,256,11,4201,8,0.47132999170571566,0.6910218596458435,0.6235633492469788,0.1587453931570053,0.0,0.0
RCAEval,online_boutique,adservice_mem_5,service,RE1-OB/adservice_mem/5/data.csv,fault,race_dlinear,256,11,4201,8,0.47132999170571566,0.6910218596458435,0.6235633492469788,0.1587453931570053,0.0,0.0
RCAEval,online_boutique,adservice_mem_5,service,RE1-OB/adservice_mem/5/data.csv,normal,patchtst,256,11,4201,8,4.092700002365744,0.007962818257510662,0.07361388206481934,0.15002566576004028,0.0,0.0
RCAEval,online_boutique,adservice_mem_5,service,RE1-OB/adservice_mem/5/data.csv,fault,patchtst,256,11,4201,8,4.092700002365744,0.007962818257510662,0.07361388206481934,0.15002566576004028,0.0,0.0
RCAEval,online_boutique,currencyservice_loss_1,loss,RE1-OB/currencyservice_loss/1/data.csv,normal,dlinear,256,13,721,8,0.30343999387696374,0.7000982761383057,0.728299617767334,0.15519563853740692,0.009765625,0.009765625
RCAEval,online_boutique,currencyservice_loss_1,loss,RE1-OB/currencyservice_loss/1/data.csv,fault,dlinear,256,13,721,8,0.30343999387696374,0.7000982761383057,0.728299617767334,0.15519563853740692,0.009765625,0.009765625
RCAEval,online_boutique,currencyservice_loss_1,loss,RE1-OB/currencyservice_loss/1/data.csv,normal,race_dlinear,256,13,721,8,0.8456400246359403,1.0145453214645386,0.774756133556366,0.14221782982349396,0.078125,0.078125
RCAEval,online_boutique,currencyservice_loss_1,loss,RE1-OB/currencyservice_loss/1/data.csv,fault,race_dlinear,256,13,721,8,0.8456400246359403,1.0145453214645386,0.774756133556366,0.14221782982349396,0.078125,0.078125
