dataset,system,case_id,fault_type,root_cause,normal_best_mse,normal_best_decision_cost,fault_best_mse,fault_best_decision_cost,ranking_changed,fault_mse_decision_cost_disagreement,normal_best_mse_value,fault_best_mse_value,normal_best_decision_cost_value,fault_best_decision_cost_value,fault_normal_mse_ratio,fault_normal_decision_cost_ratio
RE2-OB,online_boutique,currencyservice_cpu_rep1,cpu,currencyservice,dlinear,patchtst,patchtst,patchtst,True,False,0.5453637838363647,1.0117731094360352,1.7745083570480347,1.919466495513916,1.8552260700531145,1.0816891833110467
RE2-OB,online_boutique,currencyservice_cpu_rep2,cpu,currencyservice,patchtst,patchtst,patchtst,patchtst,False,False,0.23692259192466736,11.095593452453613,0.8835024237632751,1.7018756866455078,46.832146155068244,1.9262829856157893
RE2-OB,online_boutique,currencyservice_cpu_rep3,cpu,currencyservice,patchtst,patchtst,patchtst,patchtst,False,False,0.34756678342819214,2.425840139389038,1.4642173051834106,1.8485995531082153,6.9794935967758285,1.2625172141894991
RE2-OB,online_boutique,currencyservice_delay_rep1,delay,currencyservice,patchtst,patchtst,dlinear,patchtst,True,True,7.772426128387451,26.569591522216797,1.6296296119689941,1.412708044052124,3.418442463566933,0.8668890364266422
RE2-OB,online_boutique,currencyservice_delay_rep2,delay,currencyservice,patchtst,patchtst,dlinear,patchtst,True,True,0.5834748148918152,243.28140258789062,0.9578189849853516,1.79237961769104,416.95270537597855,1.8713135214358398
RE2-OB,online_boutique,currencyservice_delay_rep3,delay,currencyservice,patchtst,patchtst,patchtst,patchtst,False,False,0.37937435507774353,43.19283676147461,1.1017543077468872,1.5752677917480469,113.85281103838263,1.4297813774556558
RE2-OB,online_boutique,currencyservice_loss_rep1,loss,currencyservice,patchtst,patchtst,patchtst,patchtst,False,False,0.5196957588195801,383.4379577636719,1.9249136447906494,2.8466854095458984,737.8123666712237,1.4788639569623392
RE2-OB,online_boutique,currencyservice_loss_rep2,loss,currencyservice,patchtst,patchtst,patchtst,patchtst,False,False,0.3043988347053528,4268.3623046875,0.8550451993942261,2.2466020584106445,14022.26887241248,2.6274658462526834
RE2-OB,online_boutique,currencyservice_loss_rep3,loss,currencyservice,patchtst,patchtst,patchtst,dlinear,False,True,0.14341285824775696,1253.1058349609375,1.5736358165740967,2.705606460571289,8737.750926043876,1.7193345703465006
RE2-OB,online_boutique,currencyservice_mem_rep1,mem,currencyservice,patchtst,patchtst,dlinear,patchtst,True,True,0.35975685715675354,39.41694641113281,1.270435094833374,2.4546821117401123,109.56551800750813,1.9321586137873972
RE2-OB,online_boutique,currencyservice_mem_rep2,mem,currencyservice,patchtst,patchtst,patchtst,race_dlinear,False,True,0.21349720656871796,39.25728988647461,1.0492193698883057,2.5053558349609375,183.87729993009972,2.3878284245053965
RE2-OB,online_boutique,currencyservice_mem_rep3,mem,currencyservice,patchtst,patchtst,patchtst,patchtst,False,False,0.17019781470298767,17.10552406311035,1.0374680757522583,2.399815320968628,100.50378198428231,2.313146184501672
RE2-OB,online_boutique,emailservice_cpu_rep1,cpu,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.22732318937778473,0.3596053123474121,1.9897836446762085,2.4746224880218506,1.58191213721619,1.2436641011915335
RE2-OB,online_boutique,emailservice_cpu_rep2,cpu,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.08315539360046387,0.3675065338611603,1.1372867822647095,1.3967640399932861,4.419515294785524,1.2281546411819477
RE2-OB,online_boutique,emailservice_cpu_rep3,cpu,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.12419984489679337,0.19412706792354584,0.7016037106513977,1.0339406728744507,1.5630218224898755,1.4736818765033293
RE2-OB,online_boutique,emailservice_delay_rep1,delay,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.12111062556505203,0.6697680950164795,0.8046783804893494,1.2238978147506714,5.530217451124696,1.5209776283617586
RE2-OB,online_boutique,emailservice_delay_rep2,delay,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.11896949261426926,0.2960093319416046,1.274214267730713,1.5721542835235596,2.4881112412687645,1.2338225393782924
RE2-OB,online_boutique,emailservice_delay_rep3,delay,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.4405370056629181,4.465768814086914,1.076064944267273,1.6006181240081787,10.137102574088743,1.4874735326482462
RE2-OB,online_boutique,emailservice_loss_rep1,loss,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.3541770875453949,6.298168182373047,1.4654345512390137,2.17976975440979,17.78253987580665,1.4874562310318202
RE2-OB,online_boutique,emailservice_loss_rep2,loss,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.207217276096344,3.8592092990875244,1.3381271362304688,2.001924514770508,18.62397465978279,1.4960645073008307
RE2-OB,online_boutique,emailservice_loss_rep3,loss,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.11924728006124496,12.4882230758667,0.9700258374214172,1.8023533821105957,104.72543331347092,1.8580467783226509
RE2-OB,online_boutique,emailservice_mem_rep1,mem,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.37589433789253235,57.310306549072266,1.0331826210021973,2.216569662094116,152.46387288083386,2.1453803200290205
RE2-OB,online_boutique,emailservice_mem_rep2,mem,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.1363237202167511,35.795406341552734,1.1054356098175049,2.542111396789551,262.5765074826229,2.2996467403553473
RE2-OB,online_boutique,emailservice_mem_rep3,mem,emailservice,patchtst,patchtst,patchtst,patchtst,False,False,0.30107632279396057,28.707494735717773,1.513461947441101,2.414781093597412,95.34955943833398,1.595534725983844
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.30050209164619446,0.27468153834342957,2.0070157051086426,2.5417492389678955,0.9140752959111994,1.2664321621889387
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.9981456398963928,1.0700799226760864,1.5711843967437744,1.7845648527145386,1.0720679226602245,1.1358086653692512
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,1.143817663192749,1.4833221435546875,1.4338510036468506,1.6291084289550781,1.2968169589323149,1.1361769282942304
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.40107837319374084,9.151519775390625,1.485241413116455,1.9431484937667847,22.817285565706594,1.3083048160430104
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,race_dlinear,patchtst,race_dlinear,patchtst,False,True,1.2468278408050537,18.70858383178711,1.3353811502456665,1.7580077648162842,15.004945526166084,1.3164838851386125
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.1413753628730774,37.035404205322266,0.9739221930503845,1.7099367380142212,261.9650514253431,1.7557221205305873
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,patchtst,patchtst,dlinear,patchtst,True,True,0.22246718406677246,617.87744140625,1.499025583267212,3.051572799682617,2777.3868941533283,2.03570428266577
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,patchtst,patchtst,dlinear,patchtst,True,True,0.15093345940113068,18076.30859375,1.43988037109375,3.177121639251709,119763.42863585478,2.206517779555763
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.1851302832365036,1255.380859375,1.3954014778137207,2.8066067695617676,6781.067027112216,2.011325639384507
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.2989036738872528,17.8917179107666,2.307734727859497,2.638597011566162,59.85780528584403,1.1433710208163965
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,patchtst,patchtst,patchtst,patchtst,False,False,0.10824684053659439,85.34626007080078,1.0015968084335327,2.7440543174743652,788.4411189068217,2.7396795740253843
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,patchtst,patchtst,race_dlinear,patchtst,True,True,1.2494672536849976,275.45147705078125,1.1499437093734741,2.6281697750091553,220.4551389709531,2.2854768921176722
RE2-OB,online_boutique,recommendationservice_cpu_rep1,cpu,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.46673622727394104,0.3674657642841339,1.5017012357711792,1.5264220237731934,0.7873092826549707,1.0164618550036146
RE2-OB,online_boutique,recommendationservice_cpu_rep2,cpu,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.15139897167682648,0.7373427748680115,0.9688426852226257,1.2563515901565552,4.8701967173325995,1.2967549936838962
RE2-OB,online_boutique,recommendationservice_cpu_rep3,cpu,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.9491880536079407,0.39315900206565857,1.4825801849365234,1.0042414665222168,0.4142055945302191,0.6773606424297471
RE2-OB,online_boutique,recommendationservice_delay_rep1,delay,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.7467862963676453,3.2270171642303467,0.9859870076179504,1.4091745615005493,4.32120565137108,1.4292019576454453
RE2-OB,online_boutique,recommendationservice_delay_rep2,delay,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.14665238559246063,1.7629929780960083,0.9468259215354919,1.4688720703125,12.021577221357138,1.551364445040111
RE2-OB,online_boutique,recommendationservice_delay_rep3,delay,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.917349100112915,3.271623373031616,1.4577358961105347,1.379714846611023,3.5663886001838527,0.9464779253171415
RE2-OB,online_boutique,recommendationservice_loss_rep1,loss,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.19211573898792267,147.60153198242188,1.1173794269561768,3.3652093410491943,768.2948453884917,3.011697960303664
RE2-OB,online_boutique,recommendationservice_loss_rep2,loss,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.20265153050422668,1572.3714599609375,0.950084388256073,2.065171241760254,7758.991289375645,2.1736713783403787
RE2-OB,online_boutique,recommendationservice_loss_rep3,loss,recommendationservice,patchtst,patchtst,race_dlinear,patchtst,True,True,2.279282569885254,3511.3310546875,1.506054162979126,2.0485143661499023,1540.5422307354684,1.360186384065853
RE2-OB,online_boutique,recommendationservice_mem_rep1,mem,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,1.1574105024337769,9.236822128295898,1.3774125576019287,1.9658687114715576,7.980592977921763,1.4272185196961826
RE2-OB,online_boutique,recommendationservice_mem_rep2,mem,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.10954657196998596,23.206846237182617,0.7919984459877014,2.036227226257324,211.84456820374925,2.5709990171987585
RE2-OB,online_boutique,recommendationservice_mem_rep3,mem,recommendationservice,patchtst,patchtst,patchtst,patchtst,False,False,0.3305572271347046,24.044750213623047,1.6155489683151245,1.9890060424804688,72.74005297674108,1.2311641934040707
