dataset,system,case_id,fault_type,root_cause,window_type,model,eval_windows,n_entities,n_steps,n_metrics,target_metric_name,target_metric_role,cost_label,train_window_scope,normal_eval_scope,train_end,normal_eval_start,normal_eval_gap_steps,scaler_fit_scope,eval_window_crosses_injection,train_windows,heldout_normal_windows,fault_windows,input_len,pred_len,p95_latency_ms,mse,mae,capacity_cost,decision_cost,under_rate,peak_miss
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.8030549826798961,0.9981456398963928,0.6291693449020386,1.5711843967437744,1.5711843967437744,0.7666666666666667,0.7666666666666667
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.8030549826798961,1.0700799226760864,0.7049418687820435,1.7845648527145386,1.7845648527145386,0.6593023255813953,0.6593023255813953
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.10345496993977571,1.5848561525344849,0.7761593461036682,2.117366075515747,2.117366075515747,0.25,0.25
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.10345496993977571,2.141284942626953,0.9290640950202942,2.108431816101074,2.108431816101074,0.35658914728682173,0.35658914728682173
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.23149497574195263,1.6433806419372559,0.7471771240234375,1.992963433265686,1.992963433265686,0.2833333333333333,0.2833333333333333
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.23149497574195263,2.7563602924346924,0.9837257266044617,2.2029550075531006,2.2029550075531006,0.5457364341085271,0.5457364341085271
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.1002199928043408,1.143817663192749,0.6299423575401306,1.4338510036468506,1.4338510036468506,0.6333333333333333,0.6333333333333333
RE2-OB,online_boutique,productcatalogservice_cpu_rep3,cpu,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.1002199928043408,1.4833221435546875,0.783710777759552,1.6291084289550781,1.6291084289550781,0.6732558139534883,0.6732558139534883
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.17896502686198795,0.8034643530845642,0.7743021249771118,8.279952049255371,8.279952049255371,0.2,0.2
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.17896502686198795,21.946121215820312,2.7863495349884033,6.612715721130371,6.612715721130371,0.4992248062015504,0.4992248062015504
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.21838000684510916,1.0424073934555054,0.7597851157188416,6.406221866607666,6.406221866607666,0.3333333333333333,0.3333333333333333
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.21838000684510916,39.124786376953125,3.474331855773926,5.672350883483887,5.672350883483887,0.5550387596899224,0.5550387596899224
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.9134799920720964,0.2989036738872528,0.4458213448524475,2.307734727859497,2.307734727859497,0.5333333333333333,0.5333333333333333
RE2-OB,online_boutique,productcatalogservice_mem_rep1,mem,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.9134799920720964,17.8917179107666,2.3838281631469727,2.638597011566162,2.638597011566162,0.7705426356589147,0.7705426356589147
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.07477001927327365,0.5416494011878967,0.6383749842643738,3.042037010192871,3.042037010192871,0.26666666666666666,0.26666666666666666
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.07477001927327365,120.93936157226562,6.846193790435791,3.7198476791381836,3.7198476791381836,0.5542635658914729,0.5542635658914729
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.2973099763039499,0.23217543959617615,0.3673817217350006,1.7092252969741821,1.7092252969741821,0.3333333333333333,0.3333333333333333
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.2973099763039499,96.79705810546875,6.247987747192383,3.1778903007507324,3.1778903007507324,0.6333333333333333,0.6333333333333333
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.9082450007554144,0.10824684053659439,0.28530362248420715,1.0015968084335327,1.0015968084335327,0.5666666666666667,0.5666666666666667
RE2-OB,online_boutique,productcatalogservice_mem_rep2,mem,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.9082450007554144,85.34626007080078,5.8203558921813965,2.7440543174743652,2.7440543174743652,0.8697674418604651,0.8697674418604651
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.07091998413670808,2.8781867027282715,1.217705488204956,2.3774611949920654,2.3774611949920654,0.31666666666666665,0.31666666666666665
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.07091998413670808,363.9803771972656,12.045933723449707,3.2500507831573486,3.2500507831573486,0.5813953488372093,0.5813953488372093
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.46410999202635134,2.487154245376587,1.05096435546875,2.0658557415008545,2.0658557415008545,0.3333333333333333,0.3333333333333333
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.46410999202635134,275.45147705078125,10.566024780273438,2.9163475036621094,2.9163475036621094,0.5856589147286821,0.5856589147286821
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.8480399934342129,1.2494672536849976,0.6116309762001038,1.1499437093734741,1.1499437093734741,0.55,0.55
RE2-OB,online_boutique,productcatalogservice_mem_rep3,mem,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.8480399934342129,288.699462890625,10.557552337646484,2.6281697750091553,2.6281697750091553,0.7813953488372093,0.7813953488372093
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.06782002456020564,0.8015998005867004,0.6721106767654419,3.1866958141326904,3.1866958141326904,0.2833333333333333,0.2833333333333333
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.06782002456020564,18.842594146728516,1.827892541885376,2.7183549404144287,2.7183549404144287,0.3306201550387597,0.3306201550387597
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3942100098356604,0.6418766379356384,0.6567805409431458,3.2171478271484375,3.2171478271484375,0.18333333333333332,0.18333333333333332
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3942100098356604,10.180215835571289,1.776070475578308,3.165403127670288,3.165403127670288,0.4050387596899225,0.4050387596899225
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.93166001024656,0.40107837319374084,0.478115051984787,1.485241413116455,1.485241413116455,0.65,0.65
RE2-OB,online_boutique,productcatalogservice_delay_rep1,delay,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.93166001024656,9.151519775390625,1.65444016456604,1.9431484937667847,1.9431484937667847,0.6124031007751938,0.6124031007751938
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.19216999644413582,1.85764741897583,0.808914840221405,2.0226662158966064,2.0226662158966064,0.36666666666666664,0.36666666666666664
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.19216999644413582,29.125913619995117,2.709205150604248,2.3886806964874268,2.3886806964874268,0.43953488372093025,0.43953488372093025
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3712149802595377,1.2468278408050537,0.7929096221923828,2.328399181365967,2.328399181365967,0.2833333333333333,0.2833333333333333
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3712149802595377,18.70858383178711,2.0614213943481445,2.292889356613159,2.292889356613159,0.3546511627906977,0.3546511627906977
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,2.1742849872680363,1.2482719421386719,0.6584892868995667,1.3353811502456665,1.3353811502456665,0.6666666666666666,0.6666666666666666
RE2-OB,online_boutique,productcatalogservice_delay_rep2,delay,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,2.1742849872680363,21.60614013671875,2.330571174621582,1.7580077648162842,1.7580077648162842,0.6484496124031007,0.6484496124031007
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.48520001000724694,0.4645256996154785,0.6481574773788452,2.2042529582977295,2.2042529582977295,0.21666666666666667,0.21666666666666667
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.48520001000724694,39.314796447753906,3.2524466514587402,2.5134685039520264,2.5134685039520264,0.4383720930232558,0.4383720930232558
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3184250206686556,0.7568113207817078,0.7900651097297668,2.699732780456543,2.699732780456543,0.23333333333333334,0.23333333333333334
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3184250206686556,45.17155838012695,3.314370632171631,2.851961135864258,2.851961135864258,0.40193798449612406,0.40193798449612406
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.2272150139324367,0.1413753628730774,0.3083784282207489,0.9739221930503845,0.9739221930503845,0.6166666666666667,0.6166666666666667
RE2-OB,online_boutique,productcatalogservice_delay_rep3,delay,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.2272150139324367,37.035404205322266,2.983867883682251,1.7099367380142212,1.7099367380142212,0.7627906976744186,0.7627906976744186
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.1467949856305495,0.657377302646637,0.6948520541191101,5.8312554359436035,5.8312554359436035,0.18333333333333332,0.18333333333333332
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.1467949856305495,617.87744140625,12.089559555053711,5.146176815032959,5.146176815032959,0.4562015503875969,0.4562015503875969
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.5585400076815856,0.7258202433586121,0.7038761377334595,5.5925774574279785,5.5925774574279785,0.26666666666666666,0.26666666666666666
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.5585400076815856,700.6876831054688,13.408540725708008,5.124203681945801,5.124203681945801,0.5337209302325582,0.5337209302325582
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.3476349849952374,0.22246718406677246,0.3814852833747864,1.499025583267212,1.499025583267212,0.6166666666666667,0.6166666666666667
RE2-OB,online_boutique,productcatalogservice_loss_rep1,loss,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.3476349849952374,645.9472045898438,12.609200477600098,3.051572799682617,3.051572799682617,0.774031007751938,0.774031007751938
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.07188999734353274,0.17208833992481232,0.3236156404018402,1.948086142539978,1.948086142539978,0.2833333333333333,0.2833333333333333
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.07188999734353274,18076.30859375,34.31950759887695,4.068930149078369,4.068930149078369,0.4806201550387597,0.4806201550387597
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.2829399978509172,0.37391725182533264,0.5652258396148682,3.7859299182891846,3.7859299182891846,0.08333333333333333,0.08333333333333333
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.2829399978509172,18906.728515625,39.194190979003906,5.872721195220947,5.872721195220947,0.3767441860465116,0.3767441860465116
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.171229980536736,0.15093345940113068,0.3056155741214752,1.43988037109375,1.43988037109375,0.38333333333333336,0.38333333333333336
RE2-OB,online_boutique,productcatalogservice_loss_rep2,loss,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.171229980536736,18402.33984375,35.80030822753906,3.177121639251709,3.177121639251709,0.610077519379845,0.610077519379845
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.12046002084389322,0.8494035601615906,0.6554672718048096,2.34011173248291,2.34011173248291,0.31666666666666665,0.31666666666666665
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.12046002084389322,1291.705078125,15.943214416503906,3.1603941917419434,3.1603941917419434,0.5891472868217055,0.5891472868217055
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.43285499559715385,0.7561720609664917,0.6257006525993347,2.248598337173462,2.248598337173462,0.25,0.25
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.43285499559715385,1508.3089599609375,16.81818199157715,2.993699789047241,2.993699789047241,0.537984496124031,0.537984496124031
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.11288501357194,0.1851302832365036,0.3410611152648926,1.3954014778137207,1.3954014778137207,0.4666666666666667,0.4666666666666667
RE2-OB,online_boutique,productcatalogservice_loss_rep3,loss,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.11288501357194,1255.380859375,15.442560195922852,2.8066067695617676,2.8066067695617676,0.7011627906976744,0.7011627906976744
RE2-OB,online_boutique,checkoutservice_cpu_rep1,cpu,checkoutservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.06923500332050025,0.5951500535011292,0.5195115804672241,4.013268947601318,4.013268947601318,0.26666666666666666,0.26666666666666666
RE2-OB,online_boutique,checkoutservice_cpu_rep1,cpu,checkoutservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.06923500332050025,0.8920750617980957,0.6068951487541199,3.9197065830230713,3.9197065830230713,0.3674418604651163,0.3674418604651163
RE2-OB,online_boutique,checkoutservice_cpu_rep1,cpu,checkoutservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,1.0814750014105803,0.6205410361289978,0.6896717548370361,6.977453708648682,6.977453708648682,0.2,0.2
