pool,dataset,stress,objective,seeds,models,modal_winner,modal_winner_count,modal_winner_rate
official_probe,alibaba2018,clean,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,alibaba2018,delayed_12,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,alibaba2018,delayed_12,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,alibaba2018,delayed_12,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,alibaba2018,level_shift,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,alibaba2018,level_shift,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,alibaba2018,level_shift,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,alibaba2018,missing_30,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,alibaba2018,missing_30,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,alibaba2018,missing_30,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,alibaba2018,missing_variables_30,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,alibaba2018,missing_variables_30,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,alibaba2018,missing_variables_30,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,salesforce_borg,clean,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,salesforce_borg,clean,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,salesforce_borg,clean,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,salesforce_borg,delayed_12,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,salesforce_borg,delayed_12,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,salesforce_borg,delayed_12,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,salesforce_borg,missing_30,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_timemixer,1,1.0
official_probe,salesforce_borg,missing_30,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_patchtst,1,1.0
official_probe,salesforce_borg,missing_30,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,salesforce_borg,missing_variables_30,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,salesforce_borg,missing_variables_30,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,salesforce_borg,missing_variables_30,latency,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
