source,dataset,stress,latency_budget_ms,selected_model,route_reason,mse,mae,capacity_cost,latency_p95_ms,mse_vs_dlinear,capacity_cost_vs_dlinear,latency_vs_dlinear
alibaba2018,alibaba2018,level_shift,0.5,race_dlinear,validation_best_capacity_cost,0.7049170732498169,0.7035649418830872,0.5948404669761658,0.3623125230660662,-0.0430420245855477,-0.0469926664469032,1.5476655469955172
alibaba2018,alibaba2018,level_shift,1.0,patchtst,validation_best_capacity_cost,0.3987139463424682,0.4833402931690216,0.4632152915000915,0.9881844569463284,-0.4587271250186108,-0.2578723299415157,5.948596404379785
alibaba2018,alibaba2018,level_shift,,patchtst,validation_best_capacity_cost,0.3987139463424682,0.4833402931690216,0.4632152915000915,0.9881844569463284,-0.4587271250186108,-0.2578723299415157,5.948596404379785
alibaba2018,alibaba2018,missing_30,0.2,dlinear,strict_latency_rule,0.2861812114715576,0.4056247770786285,0.5091691613197327,0.1422135348548181,0.0004561238639879,-0.0049638581274251,0.0
alibaba2018,alibaba2018,missing_30,0.5,dlinear,validation_best_capacity_cost,0.2861812114715576,0.4056247770786285,0.5091691613197327,0.1422135348548181,0.0004561238639879,-0.0049638581274251,0.0
alibaba2018,alibaba2018,missing_30,1.0,patchtst,validation_best_capacity_cost,0.2862376868724823,0.3911203145980835,0.4304597377777099,0.9881844569463284,0.000653555276107,-0.1587805600802139,5.948596404379785
alibaba2018,alibaba2018,missing_30,,patchtst,validation_best_capacity_cost,0.2862376868724823,0.3911203145980835,0.4304597377777099,0.9881844569463284,0.000653555276107,-0.1587805600802139,5.948596404379785
alibaba2018,alibaba2018,missing_variables_30,0.2,dlinear,strict_latency_rule,0.546013593673706,0.5769947171211243,1.1787337064743042,0.1422135348548181,-0.0015273688741341,0.0035899281050163,0.0
alibaba2018,alibaba2018,missing_variables_30,0.5,dlinear,validation_best_capacity_cost,0.546013593673706,0.5769947171211243,1.1787337064743042,0.1422135348548181,-0.0015273688741341,0.0035899281050163,0.0
alibaba2018,alibaba2018,missing_variables_30,1.0,patchtst,metric_outage_rule,0.5210028886795044,0.532799482345581,1.0870271921157837,0.9881844569463284,-0.0472634177769692,-0.0744902469559957,5.948596404379785
alibaba2018,alibaba2018,missing_variables_30,,patchtst,metric_outage_rule,0.5210028886795044,0.532799482345581,1.0870271921157837,0.9881844569463284,-0.0472634177769692,-0.0744902469559957,5.948596404379785
salesforce_borg,salesforce_borg_256x2048,burst,0.2,dlinear,strict_latency_rule,0.1225194558501243,0.2905844748020172,0.2704683542251587,0.1501560065662488,0.0023731281336189,0.0017237696879456,0.0
salesforce_borg,salesforce_borg_256x2048,burst,0.5,race_dlinear,validation_best_capacity_cost,0.1204611882567405,0.2894314527511596,0.2586458623409271,0.3616375077399425,-0.014466255552838,-0.0420627619057603,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,burst,1.0,race_dlinear,validation_best_capacity_cost,0.1204611882567405,0.2894314527511596,0.2586458623409271,0.3616375077399425,-0.014466255552838,-0.0420627619057603,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,burst,,race_dlinear,validation_best_capacity_cost,0.1204611882567405,0.2894314527511596,0.2586458623409271,0.3616375077399425,-0.014466255552838,-0.0420627619057603,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,clean,0.2,dlinear,strict_latency_rule,0.1177014485001564,0.2852893471717834,0.2512482702732086,0.1501560065662488,0.0,0.0,0.0
salesforce_borg,salesforce_borg_256x2048,clean,0.5,race_dlinear,validation_best_capacity_cost,0.122442752122879,0.2886935770511627,0.2485866993665695,0.3616375077399425,0.0402824577194247,-0.0105933899713813,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,clean,1.0,patchtst,validation_best_capacity_cost,0.0396534465253353,0.1298007816076278,0.1995988488197326,0.6599869666388258,-0.6631014568585992,-0.2055712518828972,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,clean,,patchtst,validation_best_capacity_cost,0.0396534465253353,0.1298007816076278,0.1995988488197326,0.6599869666388258,-0.6631014568585992,-0.2055712518828972,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,delayed_12,0.2,dlinear,strict_latency_rule,0.1597802639007568,0.3296920657157898,0.5352795720100403,0.1501560065662488,0.0,0.0,0.0
salesforce_borg,salesforce_borg_256x2048,delayed_12,0.5,race_dlinear,validation_best_capacity_cost,0.152806356549263,0.3226446509361267,0.5200831294059753,0.3616375077399425,-0.0436468633937509,-0.0283897301497989,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,delayed_12,1.0,patchtst,validation_best_capacity_cost,0.1204776838421821,0.2683824896812439,0.4411903023719787,0.6599869666388258,-0.2459789406968713,-0.175775939449258,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,delayed_12,,patchtst,validation_best_capacity_cost,0.1204776838421821,0.2683824896812439,0.4411903023719787,0.6599869666388258,-0.2459789406968713,-0.175775939449258,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,level_shift,0.2,dlinear,strict_latency_rule,0.2515199184417724,0.3771140873432159,0.4182217121124267,0.1501560065662488,0.0,0.0,0.0
salesforce_borg,salesforce_borg_256x2048,level_shift,0.5,race_dlinear,validation_best_capacity_cost,0.1454469263553619,0.3147814571857452,0.3288885354995727,0.3616375077399425,-0.4217279996890851,-0.2136024362810685,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,level_shift,1.0,race_dlinear,validation_best_capacity_cost,0.1454469263553619,0.3147814571857452,0.3288885354995727,0.3616375077399425,-0.4217279996890851,-0.2136024362810685,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,level_shift,,race_dlinear,validation_best_capacity_cost,0.1454469263553619,0.3147814571857452,0.3288885354995727,0.3616375077399425,-0.4217279996890851,-0.2136024362810685,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,missing_30,0.2,dlinear,strict_latency_rule,0.0381683222949504,0.130488708615303,0.2009900659322738,0.1501560065662488,-0.0033856208094975,0.0004638791048274,0.0
salesforce_borg,salesforce_borg_256x2048,missing_30,0.5,dlinear,validation_best_capacity_cost,0.0381683222949504,0.130488708615303,0.2009900659322738,0.1501560065662488,-0.0033856208094975,0.0004638791048274,0.0
salesforce_borg,salesforce_borg_256x2048,missing_30,1.0,patchtst,validation_best_capacity_cost,0.0327455960214138,0.1047763079404831,0.1708435267210006,0.6599869666388258,-0.1449786134712602,-0.1495958933570571,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,missing_30,,patchtst,validation_best_capacity_cost,0.0327455960214138,0.1047763079404831,0.1708435267210006,0.6599869666388258,-0.1449786134712602,-0.1495958933570571,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,0.2,dlinear,strict_latency_rule,0.2530574202537536,0.3823134303092956,0.5290407538414001,0.1501560065662488,-0.0044760601478938,0.00123046754044,0.0
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,0.5,race_dlinear,validation_best_capacity_cost,0.2487927079200744,0.3765102028846741,0.5213825702667236,0.3616375077399425,-0.0212533718762078,-0.0132629465591522,1.4084118644989942
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,1.0,patchtst,metric_outage_rule,0.1970338076353073,0.2790808081626892,0.5001148581504822,0.6599869666388258,-0.2248720773946417,-0.0535129295539284,3.3953417630858453
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,,patchtst,metric_outage_rule,0.1970338076353073,0.2790808081626892,0.5001148581504822,0.6599869666388258,-0.2248720773946417,-0.0535129295539284,3.3953417630858453
