source,dataset,stress,model,seeds,mse_mean,mse_std,mae_mean,mae_std,p95_ms_mean,p95_ms_std,capacity_cost_mean,capacity_cost_std,params,memory_mb
alibaba2018,alibaba2018,level_shift,patchtst,3,0.28046703338623047,0.003785207752851855,0.39248740673065186,0.007543759079073356,1.1976014648098492,0.42008975353901656,0.4292434553305308,0.007465235961251541,124184.0,37.0
alibaba2018,alibaba2018,level_shift,last_value,3,0.5733957290649414,0.0,0.5957724452018738,0.0,0.10164826865851144,0.03964004929785563,0.910426139831543,0.0,0.0,0.0
alibaba2018,alibaba2018,missing_30,race_dlinear,3,0.2843552827835083,0.0010053400501102952,0.401234229405721,0.001400359160220649,0.7592647806935316,0.37153794311447197,0.5007934967676798,0.005546783068115462,4668.0,17.0
alibaba2018,alibaba2018,missing_30,patchtst,3,0.2858029504617055,0.003624380766324488,0.39535781741142273,0.00634562490121713,1.0404222882546788,0.35174851520541844,0.453348567088445,0.01033508290083952,124184.0,37.0
alibaba2018,alibaba2018,missing_30,dlinear,3,0.2863151927789052,0.001114838039317042,0.4049241642157237,0.0016407702984119635,0.7114616368198767,0.9639505717494006,0.5263179937998453,0.02611888795121135,2334.0,17.0
alibaba2018,alibaba2018,missing_30,last_value,3,0.6206856767336527,0.0028372546728727536,0.567412257194519,0.0012700124247348094,0.11972570015738404,0.06687112830659958,1.2120742797851562,0.01690507800292532,0.0,0.0
alibaba2018,alibaba2018,missing_variables_30,patchtst,3,0.3477241595586141,0.0012619319065132837,0.4363305966059367,0.0014550573800931586,0.9094902377303984,0.06308892135866005,0.5118775169054667,0.0166511005105949,124184.0,37.0
alibaba2018,alibaba2018,missing_variables_30,race_dlinear,3,0.44940980275472003,0.0011061772207156815,0.5164645314216614,0.0010565432713121365,0.4222909866560561,0.04159787788426338,0.8746150930722555,0.008874729338307323,4668.0,17.0
alibaba2018,alibaba2018,missing_variables_30,dlinear,3,0.4616955717404683,0.0020250226812824367,0.5351134339968363,0.0021492751981743354,0.2744991579675115,0.21027974566353175,0.9243495464324951,0.003999183365202874,2334.0,17.0
alibaba2018,alibaba2018,missing_variables_30,last_value,3,0.6207448442776998,0.0026176539458404795,0.5674009124437968,0.001569091437473289,0.23332848941208764,0.2432514039099446,1.2121386925379436,0.006703601002705166,0.0,0.0
salesforce_borg,salesforce_borg_256x2048,clean,dlinear,3,0.024857865025599734,7.930033815455037e-05,0.08792979766925174,0.0015821443121139013,0.15901336494910837,0.006901493522026996,0.14955998460451755,0.004010433627930613,2336.0,17.0
salesforce_borg,salesforce_borg_256x2048,clean,race_dlinear,3,0.025177609175443597,0.00040140316246929354,0.08469184736410773,0.0033744750701915466,0.37952528897828114,0.007532061053086279,0.13814962903658543,0.004771004842224254,4672.0,18.0
salesforce_borg,salesforce_borg_256x2048,clean,patchtst,3,0.02697398699820037,0.0008434483201190793,0.09331144640843066,0.0056550704183018835,0.6647340031728768,0.023956644015851257,0.16076448559761045,0.007309996574723727,126232.0,37.0
salesforce_borg,salesforce_borg_256x2048,clean,last_value,3,0.0310068652033805,0.0,0.0856440886855125,0.0,0.07537049823440604,0.0049519569905895405,0.1348187029361724,0.0,0.0,0.0
salesforce_borg,salesforce_borg_256x2048,delayed_12,dlinear,3,0.0357092296083768,0.00014802448123066598,0.10646117230256393,0.00107636731796025,0.1703426484406615,0.01105516385594068,0.17130107184251145,0.0020205715725750604,2336.0,17.0
salesforce_borg,salesforce_borg_256x2048,delayed_12,race_dlinear,3,0.03638817494114236,0.0005602366418922624,0.10697657614946356,0.0026417350738828027,0.38999966054689134,0.006002913813977544,0.16082558035850522,0.0012236880790759464,4672.0,18.0
salesforce_borg,salesforce_borg_256x2048,delayed_12,patchtst,3,0.040696584930022504,0.0033018976501818036,0.1138560275236765,0.0042582933242653,0.7101085172810903,0.05440874676367597,0.1815908998250961,0.003300075414870359,126232.0,37.0
salesforce_borg,salesforce_borg_256x2048,delayed_12,last_value,3,0.6700413823127747,0.0,0.6953510642051697,0.0,0.0777072079169253,0.0019399394180338128,1.3108545541763306,0.0,0.0,0.0
salesforce_borg,salesforce_borg_256x2048,missing_30,patchtst,3,0.03280019635955487,0.001888186095417756,0.10859721899032587,0.011179671383520585,0.7453882790287025,0.10090785846540858,0.1691543459892272,0.00337346076453987,126232.0,37.0
salesforce_borg,salesforce_borg_256x2048,missing_30,dlinear,3,0.0376905798912048,0.00012497667881982368,0.12990105648835495,6.201358865372321e-05,0.171077870860851,0.025117433774719956,0.19503818949063612,0.004220400723006266,2336.0,17.0
salesforce_borg,salesforce_borg_256x2048,missing_30,race_dlinear,3,0.0387086967627207,0.00014883027858804803,0.13068006932735435,6.388864998563175e-05,0.38258603987439216,0.01528063352287559,0.18287855386734006,0.0015233711165507512,4672.0,18.0
salesforce_borg,salesforce_borg_256x2048,missing_30,last_value,3,0.22215620179971052,0.0010732299389671382,0.26797474424044293,0.00038243554542661054,0.07942967058625063,0.003542916233663145,0.48666845758756,0.00030750710139833845,0.0,1.0
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,patchtst,3,0.09872707476218535,0.006450121082655098,0.18682958682378129,0.015060808674868963,0.6941941794745313,0.04290158108559303,0.3082445859909057,0.017016509642251276,126232.0,37.0
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,dlinear,3,0.1613927284876505,0.001966753036785956,0.2874862849712371,0.0035591864318625715,0.15092282216452677,0.00776699973326221,0.4461137851079305,0.0025357104077160814,2336.0,17.0
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,race_dlinear,3,0.16262600819269815,0.0012497965401853531,0.29241952300071716,0.0019356953326100394,0.37466514428767056,0.008887878714368174,0.41357746720314026,0.0016961545280345,4672.0,18.0
salesforce_borg,salesforce_borg_256x2048,missing_variables_30,last_value,3,0.2220342457294464,0.0002962354342010642,0.2683205803235372,0.00024350454768968645,0.07608416829801466,0.002951138699169763,0.4874011774857839,0.0005450630509120967,0.0,0.0
