source,stress,model,imputation,pipeline,mse,mae,latency_p95_ms,capacity_cost
salesforce_borg,missing_variables_30,patchtst,mean,patchtst+mean,0.0901331827044487,0.1713779866695404,0.7389844889985397,0.2788403928279876
salesforce_borg,missing_variables_30,patchtst,none,patchtst+none,0.0901331827044487,0.1713779866695404,0.8685079141287132,0.2788403928279876
salesforce_borg,delayed_12,dlinear,ffill,dlinear+ffill,0.0359537303447723,0.1077321469783783,0.2436280163237825,0.1721139550209045
salesforce_borg,delayed_12,dlinear,mean,dlinear+mean,0.0358230248093605,0.1070132851600647,0.255342977470718,0.1707010567188263
salesforce_borg,delayed_12,dlinear,none,dlinear+none,0.0358550362288951,0.1076015457510948,0.6557579821674152,0.1716215163469314
salesforce_borg,delayed_12,patchtst,ffill,patchtst+ffill,0.0381276383996009,0.1107459813356399,0.8479945332510397,0.1802825182676315
salesforce_borg,delayed_12,patchtst,mean,patchtst+mean,0.0394416600465774,0.1136283501982688,0.8024719689274203,0.1775954812765121
salesforce_borg,delayed_12,patchtst,none,patchtst+none,0.0412182994186878,0.1188801452517509,1.192554048611782,0.1824434995651245
salesforce_borg,level_shift,dlinear,ffill,dlinear+ffill,0.0247625913470983,0.08690145611763,0.2767474943539126,0.1439576148986816
salesforce_borg,level_shift,dlinear,mean,dlinear+mean,0.0247801281511783,0.0871279016137123,0.7053089502733201,0.1434744298458099
salesforce_borg,level_shift,dlinear,none,dlinear+none,0.0247625913470983,0.08690145611763,0.252373021794483,0.1439576148986816
salesforce_borg,level_shift,patchtst,ffill,patchtst+ffill,0.0288469977676868,0.1005200669169426,2.162513352232053,0.172992467880249
salesforce_borg,level_shift,patchtst,mean,patchtst+mean,0.0283342432230711,0.1030836179852485,1.1912814690731466,0.1689828634262085
salesforce_borg,level_shift,patchtst,none,patchtst+none,0.0288469977676868,0.1005200669169426,0.8134404546581203,0.172992467880249
