source,dataset,stress,model,model_id,zero_shot,eval_windows,params,mse,mae,latency_mean_ms,latency_p50_ms,latency_p95_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb,file
alibaba2018,alibaba2018,missing_variables_30,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,0.5201004147529602,0.5358412861824036,11.853467719629409,11.8605715688318,11.888619046658278,0.3732096354166667,0.6267903645833334,3.6792287826538086,5.885728359222412,0.4836055040359497,103,chronos_bolt_small_alibaba2018_a6000.csv
alibaba2018,alibaba2018,delayed_12,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,0.6727581024169922,0.6154468059539795,11.829786002635956,11.833876487798989,11.86861280584708,0.5146484375,0.4853515625,5.512760162353516,3.430837869644165,0.5849499702453613,103,chronos_bolt_small_alibaba2018_a6000.csv
salesforce_borg,salesforce_borg,clean,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,4.71990915684728e-06,0.001965494826436,11.94958332926035,11.948073050007224,12.009035458322614,0.755859375,0.244140625,0.0024947186466306,0.00085850834148,0.0133321024477481,103,chronos_bolt_small_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,missing_30,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,0.0130286812782287,0.0778377875685691,11.94288800470531,11.938707553781567,11.988418409600854,0.0660807291666666,0.9339192708333334,0.0002816025807987,0.1484427899122238,0.1498508155345916,103,chronos_bolt_small_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,missing_variables_30,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,0.4256185591220855,0.3923395574092865,11.9165254291147,11.922355624847114,11.951693485025316,0.478515625,0.521484375,0.0015818625688552,0.7437806129455566,0.7516898512840271,103,chronos_bolt_small_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,delayed_12,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,1.0681631565093994,1.032755970954895,11.91903091967106,11.90905855037272,11.994631087873133,0.0,1.0,0.0,1.9627403020858765,1.9627403020858765,103,chronos_bolt_small_salesforce_borg_a6000.csv
alibaba2018,alibaba2018,clean,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,0.392136812210083,0.4704988896846771,8.688783319666982,8.68905894458294,8.736561390105635,0.2535807291666667,0.7464192708333334,2.139540910720825,7.8838934898376465,0.39424729347229,26,chronos_bolt_tiny_alibaba2018_a6000.csv
alibaba2018,alibaba2018,missing_30,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,0.4441476166248321,0.4903244972229004,8.67523595225066,8.682476007379591,8.699136122595519,0.3663736979166667,0.6336263020833334,3.1186418533325195,5.331278800964356,0.418299525976181,26,chronos_bolt_tiny_alibaba2018_a6000.csv
alibaba2018,alibaba2018,missing_variables_30,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,0.5211091041564941,0.5374054908752441,8.69927778840065,8.701848099008203,8.740799140650779,0.3709309895833333,0.6290690104166666,3.660905122756958,5.986825466156006,0.4843659400939941,26,chronos_bolt_tiny_alibaba2018_a6000.csv
alibaba2018,alibaba2018,delayed_12,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,0.6871975064277649,0.622191846370697,8.693459699861705,8.697114535607398,8.736414439044893,0.52099609375,0.47900390625,5.627386569976807,3.406355619430542,0.5943467617034912,26,chronos_bolt_tiny_alibaba2018_a6000.csv
salesforce_borg,salesforce_borg,clean,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,4.71990915684728e-06,0.001965494826436,8.606300316751003,8.606001501902938,8.633861260022968,0.755859375,0.244140625,0.0024947186466306,0.00085850834148,0.0133321024477481,26,chronos_bolt_tiny_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,missing_30,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,0.0187455732375383,0.0993358492851257,8.599044289439917,8.616650942713022,8.632541773840785,0.01806640625,0.98193359375,8.362725930055603e-05,0.1897539347410202,0.1901720613241195,26,chronos_bolt_tiny_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,missing_variables_30,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,0.4256175458431244,0.3923390805721283,8.581451699137688,8.580348105169833,8.606777188833803,0.478515625,0.521484375,0.0015818625688552,0.7437796592712402,0.7516889572143555,26,chronos_bolt_tiny_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,delayed_12,chronos_bolt_reference,autogluon/chronos-bolt-tiny,1,512,,1.1429332494735718,1.068844199180603,8.612213050946593,8.610372082330287,8.641164586879313,0.0,1.0,0.0,2.031280040740967,2.031280040740967,26,chronos_bolt_tiny_salesforce_borg_a6000.csv
