dataset,objective,latency_budget_ms,policy,scenarios,mean_capacity_cost,mean_mse,mean_latency_p95_ms,feasible_rate,mean_capacity_regret,mean_mse_regret
salesforce_borg_256x2048,mse,0.5,stressroute_v1,6,0.35377854605515796,0.13239630125463006,0.3993199978140183,1.0,0.2822678313511619,0.45191692477261364
salesforce_borg_256x2048,mse,0.5,stressroute_v2,6,0.32108689347902936,0.12177369743585581,0.3993199978140183,1.0,0.1933092095177731,0.34714057242865115
salesforce_borg_256x2048,mse,0.5,oracle,6,0.26820485542217887,0.08896623086184259,0.3993199978140183,1.0,0.0,0.0
salesforce_borg_256x2048,mse,1.0,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.6716623640321062,2.248441129099937
salesforce_borg_256x2048,mse,1.0,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,1.0,0.44347459242724335,0.9569251206919877
salesforce_borg_256x2048,mse,1.0,stressroute_v1,6,0.30924690018097556,0.09697697125375267,0.6005220864608418,1.0,0.41288285333533953,0.9432300106284819
salesforce_borg_256x2048,mse,1.0,stressroute_v2,6,0.29778654128313065,0.09179461312790708,0.6407625041902065,1.0,0.37083620724158095,0.8506182514113844
salesforce_borg_256x2048,mse,1.0,oracle,6,0.21810995539029435,0.04786627305050686,0.6407625041902065,1.0,0.0,0.0
salesforce_borg_256x2048,mse,nan,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.6716623640321062,2.248441129099937
salesforce_borg_256x2048,mse,nan,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,1.0,0.44347459242724335,0.9569251206919877
salesforce_borg_256x2048,mse,nan,stressroute_v1,6,0.30924690018097556,0.09697697125375267,0.6005220864608418,1.0,0.41288285333533953,0.9432300106284819
salesforce_borg_256x2048,mse,nan,stressroute_v2,6,0.2980679124593734,0.09208500633637105,0.6407625041902065,1.0,0.37197122245194986,0.8565856112737157
salesforce_borg_256x2048,mse,nan,oracle,6,0.21810995539029435,0.04786627305050686,0.6407625041902065,1.0,0.0,0.0
